@relation R_data_frame

@attribute X1 numeric
@attribute X2 numeric
@attribute Class {1,2,3,5,6,7}

@data
-1.444317,0.3322,1
-1.436117,0.332186,1
-1.263275,-0.261521,1
-1.320025,-0.032698,1
-1.309792,-0.138403,1
-1.243774,-0.091892,1
-1.210538,-0.196373,1
-1.105181,0.00253,1
-1.079883,-0.318541,1
-1.196891,-0.065263,1
-1.023904,-0.544428,1
-1.209533,0.015887,1
-1.071075,-0.326277,1
-1.017344,-0.484291,1
-1.056157,-0.339311,1
-0.944286,-0.69238,1
-0.69421,-0.839634,1
-0.78124,-0.589336,1
-0.989047,-0.268656,1
-0.954076,-0.453674,1
-0.742079,-0.569822,1
-0.895719,-0.654124,1
-0.936552,-0.484978,1
-0.983299,-0.215535,1
-0.961526,-0.400409,1
-0.965103,-0.23664,1
-0.976367,-0.32111,1
-0.932777,-0.487304,1
-0.942507,-0.32194,1
-0.865712,-0.610109,1
-0.920259,-0.422994,1
-0.888628,-0.426462,1
-0.896939,-0.427307,1
-0.803349,-0.6359,1
-0.854104,-0.309558,1
-0.730745,-0.369265,1
-0.812402,-0.528541,1
-0.408172,-1.175593,1
-0.408172,-1.175593,1
-0.775513,-0.620671,1
-0.802336,-0.481537,1
-0.795834,-0.283339,1
-0.308075,-1.415027,1
-0.727121,-0.604727,1
-0.562903,-0.624026,1
-0.62233,-0.478675,1
-0.134468,-1.338546,1
-0.071313,-1.699803,1
-0.539251,-0.463919,1
-0.005929,-1.616617,1
-0.37562,-0.681466,1
-0.120914,-0.205302,1
-0.072995,-0.304989,1
-0.08203,-0.208021,1
-0.007247,-0.34429,1
-1.035129,-0.283328,1
-0.980405,-0.344562,1
-1.435565,-0.02039,1
-1.210757,-0.196754,1
-0.811113,-0.481414,1
-0.767187,-0.28764,1
-0.460767,-1.340701,1
-0.292427,-1.270614,1
-0.324521,-1.287413,1
-0.338881,-0.952785,1
-0.107357,-1.526867,1
-0.108427,-1.507818,1
-0.077918,-1.433895,1
0.171877,-1.641395,1
-1.747351,0.872573,2
-1.308478,-0.385405,2
-1.462782,0.14666,2
-1.393598,0.184564,2
-1.397758,0.104128,2
-1.370203,0.047556,2
-1.32524,0.023099,2
-1.30501,-0.065072,2
-1.308637,0.307171,2
-1.303302,0.045115,2
-1.29061,0.080088,2
-1.338724,0.253132,2
-1.253822,0.007857,2
-1.258958,0.013579,2
-1.596099,1.378554,2
-1.170932,-0.074326,2
-1.23214,0.125446,2
-1.209749,0.085564,2
-1.1951,-0.07147,2
-1.204355,-0.054033,2
-0.80833,-0.960946,2
-1.041604,-0.166454,2
-0.900728,-0.103917,2
-0.993492,0.063435,2
-1.005146,-0.088961,2
-0.798991,-0.32836,2
-0.607161,-0.963612,2
-0.518702,-0.698044,2
-0.470999,0.006658,2
-0.341256,-0.182802,2
-0.268615,-0.151558,2
0.11273,-0.54595,2
0.20066,-0.642367,2
1.505609,-2.425049,2
1.121928,-1.513281,2
4.806128,-1.93836,2
5.126786,-1.975463,2
6.874082,-4.085616,2
