@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute Class {1,2,3,5,6,7}

@data
-0.576053,0.75378,-0.540039,0.77319,-0.264939,-0.110797,-0.028484,-0.285572,-0.010502,1
-0.940008,0.922773,-0.548246,0.2184,-0.239467,0.127487,-0.369316,-0.097456,0.021746,1
-0.144869,0.958566,-0.109585,0.422091,-0.47988,0.288345,-0.057485,-0.004994,0.091934,1
-0.35308,1.087712,-0.483145,0.083024,-0.433317,0.299725,0.154187,-0.192111,0.00248,1
-0.283967,1.325928,0.844066,-0.913536,1.814694,-0.145877,-0.259202,0.033552,-0.00183,1
-0.25521,1.11316,-0.538638,0.096365,-0.460254,0.259266,0.321412,-0.125112,-0.018941,1
-0.123327,1.219966,-0.62682,-0.097171,-0.494776,0.384896,0.451382,-0.136904,-0.012136,1
-0.023658,0.318596,-0.082457,1.375497,-0.388149,-0.30673,-0.12389,-0.266325,-0.023402,1
-0.001176,1.067073,0.110372,-0.361888,0.449151,0.151229,-0.002813,-0.131441,-0.055767,1
-0.375854,1.381733,0.661152,-1.141399,1.601635,-0.075513,-0.102294,0.038908,0.000266,1
-0.015118,1.104195,-0.150647,-0.232909,-0.608052,0.55715,0.011553,-0.026221,-0.03628,1
-0.304017,1.424745,0.459504,-1.055666,1.615367,-0.171442,0.200041,0.005288,-0.008211,1
0.15865,1.239475,0.120118,-0.750237,0.977482,0.125623,0.188245,-0.158125,-0.025872,1
-0.090649,1.181074,-0.228382,-0.599354,-0.624759,0.713647,-0.001159,-0.164987,-0.026429,1
-0.11651,1.159354,-0.342714,-0.404543,-0.581491,0.575727,0.147125,-0.150938,0.011806,1
0.171031,1.183307,-0.213033,-0.37182,-0.659215,0.646164,0.173563,-0.01084,-0.04979,1
1.447725,-0.094678,-0.442093,2.386498,-0.323962,-0.35417,0.060577,-0.097056,0.049556,1
0.541308,0.296694,-0.67756,1.27577,-0.247318,-0.045724,-0.324574,0.09836,-0.013303,1
-0.306087,0.762294,0.324757,-0.169867,0.109966,0.181931,-0.586839,-0.113699,-0.0663,1
0.209093,1.003072,0.619629,-0.532421,1.129471,0.027167,-0.247671,-0.016392,0.025866,1
1.202665,0.439285,-1.614452,2.169071,-0.134598,-0.584522,1.02843,0.399163,-0.000721,1
0.039352,1.027476,-0.013623,-0.117638,-0.625145,0.516134,-0.100907,0.183365,0.008978,1
-0.113834,1.026865,-0.093134,-0.295903,-0.62109,0.513569,-0.072263,-0.037045,-0.059937,1
-0.150099,0.931435,-0.512876,0.260877,-0.448636,0.150666,0.182692,0.1227,0.00314,1
-0.052095,1.046256,-0.216612,-0.126105,-0.607486,0.395567,0.18361,-0.029211,-0.03775,1
-0.156517,0.735981,-0.024213,0.27656,-0.536034,0.22244,-0.177993,-0.085742,0.027097,1
-0.217679,1.037786,-0.215652,-0.272297,-0.561614,0.483969,-0.058157,-0.00072,0.03964,1
-0.114853,1.05272,-0.051131,-0.572203,-0.639696,0.713667,-0.21618,-0.150418,0.016478,1
-0.067151,0.901594,-0.176501,0.038734,-0.569755,0.329022,0.0414,-0.06456,0.008937,1
0.30008,1.169211,0.304757,-0.765783,0.590914,0.27749,0.086082,-0.047916,-0.055103,1
-0.023919,1.162564,-0.459379,-0.430863,-0.590019,0.539268,0.262016,-0.035856,-0.018887,1
0.400134,1.079058,0.478132,-0.685411,1.393989,0.050021,0.337481,-0.022768,-0.024686,1
-0.067246,1.165501,-0.037825,-0.914552,-0.113317,0.556032,-0.004372,-0.213732,-0.066799,1
0.080892,0.966628,-0.044577,-0.327505,-0.652232,0.59558,-0.136745,-0.002979,-0.013781,1
-0.390562,1.006132,-0.350312,0.161441,-0.477745,0.09114,0.0544,0.568269,-0.017281,1
0.254778,0.098115,0.078447,1.446109,-0.407461,-0.132343,-0.14743,0.116367,-0.043045,1
0.02668,0.941345,0.00773,-0.309514,-0.674834,0.536098,-0.0673,-0.083883,-0.014832,1
1.920405,0.149999,-0.93652,2.001185,-0.401301,-0.218497,0.683508,0.040762,-0.030808,1
1.920405,0.149999,-0.93652,2.001185,-0.401301,-0.218497,0.683508,0.040762,-0.030808,1
0.211899,1.06607,-0.210164,-0.282578,-0.681683,0.51299,0.272207,0.034605,-0.017341,1
0.016444,1.10123,-0.286373,-0.507031,-0.647228,0.582793,0.165602,-0.009544,0.018652,1
-0.099744,0.745472,-0.155583,0.139188,-0.561611,0.197587,-0.034461,-0.016093,-0.018592,1
1.897219,0.143957,-0.486998,1.607766,-0.527776,0.058985,0.275428,0.02717,-0.041274,1
0.75959,1.203593,0.74539,-0.986228,2.004554,-0.219564,0.369133,0.018696,0.003534,1
0.412573,0.293804,0.21567,0.984218,-0.58149,-0.043946,-0.279504,0.141944,0.001829,1
0.605613,0.785806,0.240763,-0.172351,0.817441,-0.175452,0.279958,-0.087545,-0.036037,1
2.961718,-0.44632,-0.232406,1.874146,0.347992,-0.196543,0.382843,-1.00752,0.04366,1
2.063441,0.205023,-0.381537,1.014485,-0.642365,0.409911,0.111087,0.01432,-0.027022,1
0.390466,0.340502,0.055574,0.945705,-0.584456,-0.119904,-0.003598,0.110497,0.036096,1
2.718252,0.12966,-0.20933,1.267776,0.856014,-0.314902,0.65167,-0.039156,-0.0179,1
0.723677,0.480415,0.42317,0.173719,0.296222,-0.130521,0.024514,-0.017445,-0.049566,1
0.106867,0.415506,-0.436839,0.04357,-0.6142,-0.068668,0.244845,0.073622,-0.032139,1
0.182848,0.41184,-0.242981,-0.170633,-0.678372,0.126082,0.078669,0.005704,0.03829,1
0.175485,0.513886,-0.148482,-0.470622,0.181211,-0.142443,0.145435,0.051783,-0.012591,1
0.467801,0.982034,0.236811,-1.92408,1.366004,0.02848,0.375166,-0.174403,-0.019063,1
-0.418604,1.81761,0.426622,-1.037459,2.336913,-0.582257,0.399603,1.297218,0.020201,1
0.014691,0.956843,-0.116584,-0.139454,-0.608797,0.500482,0.030963,-0.196407,0.082465,1
-0.330361,1.098336,-0.525075,0.349111,-0.405789,0.169935,0.284338,-0.196649,-0.062795,1
0.036517,1.054429,-0.057302,0.134161,0.532597,-0.102177,0.249134,-0.038369,-0.033519,1
0.45239,0.553379,-0.823569,0.667222,-0.323298,0.175689,-0.049791,-0.099245,-0.007415,1
0.23632,-0.566431,-0.11528,1.721974,0.054196,0.871593,-0.062774,0.205118,-0.022753,1
1.877674,0.307056,0.065606,1.166932,0.433503,-0.082664,0.153857,-0.031469,-0.00081,1
1.895124,-0.177378,-0.567265,2.223531,-0.373397,-0.21884,0.037125,0.099663,0.027036,1
1.760471,0.244959,-0.207875,1.010858,0.078459,0.046618,0.124951,-0.104541,-0.036146,1
1.200889,0.022505,-0.442178,1.250454,-0.42897,0.059751,-0.265608,-0.077711,0.004012,1
2.09106,0.441847,0.129386,0.270294,0.86102,0.056428,0.224581,-0.019303,-0.02371,1
2.061661,0.462011,0.06854,0.187041,0.862809,0.067313,0.252742,-0.068216,-0.062165,1
2.000994,0.37761,0.140564,0.32801,0.764065,0.003764,0.225171,-0.04668,-0.028536,1
2.244158,-0.014486,-0.312509,0.955615,-0.403852,0.242228,0.140875,-0.159317,-0.055745,1
-1.109962,0.350884,-0.245143,1.736296,1.248514,-1.069592,-0.805921,0.136025,0.06073,2
0.750413,0.875987,0.984109,0.561045,2.450555,-0.805509,0.081679,0.025779,0.043443,2
-0.934239,1.197162,-0.149909,-0.169546,-0.446676,0.329244,-0.189778,-0.044365,0.004819,2
-0.880646,0.965539,-0.141995,0.165854,-0.394286,0.158461,-0.316332,-0.064798,-0.010599,2
-0.92126,1.190468,-0.059892,-0.250634,-0.494357,0.345911,-0.188637,-0.043868,-0.01619,2
-0.877082,1.202804,-0.117915,-0.256769,-0.485815,0.35515,-0.175859,0.003308,-0.029445,2
-0.685608,0.834923,0.139018,0.62173,-0.427618,0.020373,-0.36452,0.16473,0.05563,2
-0.690026,1.060826,0.01669,-0.027886,-0.475534,0.371371,-0.360557,0.075912,0.080719,2
-0.462443,0.985591,-0.473634,0.271214,1.061551,-0.505733,0.161165,0.094654,-0.039978,2
-1.070745,0.957987,0.38728,-0.296741,-0.519348,0.432091,-0.82167,-0.046738,0.016814,2
-1.208589,0.771557,0.635634,-0.170525,-0.5084,0.374478,-1.177153,-0.081237,-0.005979,2
-0.908474,1.132459,-0.38738,-0.141137,-0.406931,0.2211,-0.043653,-0.028093,0.019171,2
-0.537278,1.064444,-0.273573,0.309833,-0.45954,0.071704,0.172498,0.140654,0.004707,2
-0.64863,1.112884,0.275239,-0.256641,0.31767,0.03594,-0.223216,0.098508,0.002703,2
-2.309372,0.556626,0.565573,0.945249,-0.331572,-0.831087,-0.583235,0.067822,-0.020265,2
-0.6201,0.871976,-0.277836,0.277636,-0.360381,0.157795,-0.392466,0.179996,-0.000621,2
-0.86724,1.072483,-0.645772,-0.241088,-0.310762,0.301837,-0.280826,0.055563,-0.018552,2
-0.533943,0.920152,0.280112,0.113189,0.444349,-0.208748,-0.170866,0.057825,-0.012851,2
-0.65056,1.059221,-0.077799,-0.093886,-0.484939,0.348441,-0.262281,0.128714,0.079566,2
-0.749426,1.09713,0.475929,-0.972249,0.242235,0.452714,-0.689225,-0.263964,-0.025007,2
0.991238,1.029488,0.819082,-0.029274,1.2857,-0.165005,0.237434,0.27121,0.019076,2
-0.562303,1.062117,-0.317867,-0.331872,-0.449112,0.468803,-0.321646,0.183496,0.09344,2
-0.30208,0.966391,-0.29358,-0.852104,1.462229,-0.029241,-0.553052,0.0886,-0.036701,2
-0.733673,0.917761,-0.540795,-0.183291,-0.360581,0.237855,-0.301218,0.136572,0.019604,2
-0.6531,1.139437,-0.099268,-0.673302,-0.597496,0.523558,-0.147629,-0.016596,0.032396,2
0.093254,0.454981,0.088423,0.670972,-0.520129,0.10517,-0.334122,-0.036675,0.096768,2
0.902855,0.90454,0.506534,0.088201,0.641646,-0.085389,0.291252,0.320457,-0.029732,2
0.618896,1.411759,0.417131,-1.756872,1.35742,0.287916,0.441335,-0.010148,0.007035,2
-0.648229,0.708704,0.178084,-0.85809,-0.717834,0.406584,-0.374843,-0.147327,0.029023,2
-0.130183,0.412678,-0.037269,-0.277736,-0.604433,0.461035,-0.011423,-0.070933,0.010361,2
-0.013818,0.816202,0.398985,-1.318624,1.364556,-0.022198,0.136668,0.138952,-0.026568,2
-0.067013,0.518478,0.455507,-0.90022,-0.884114,0.510987,-0.45427,0.218342,0.111383,2
0.987165,1.032362,-0.523465,-1.696993,1.067379,0.115581,0.866557,0.011425,-0.021579,2
3.841666,-1.323106,0.20759,2.363093,-0.928172,-0.231109,0.073105,-0.060015,-0.004537,2
2.347028,-1.126072,0.085509,1.694037,-0.726848,-0.295845,-0.459111,-0.073124,-0.016261,2
3.358382,-1.988494,2.696105,-2.891558,1.012682,-0.572132,-0.492867,-0.092926,0.044668,2
3.683209,-6.142864,4.888146,-0.136122,1.839655,4.290083,0.558666,0.435114,0.026868,2
7.148964,-3.946523,2.231858,-0.264068,-0.083205,-0.782328,-0.252687,-0.066061,0.008014,2
1.707029,-2.055799,-1.066636,-0.337359,-0.179441,-1.509047,0.711301,-0.005163,0.062032,2
0.752171,-0.771775,-2.557896,-2.019079,-0.79368,-0.675747,1.48566,0.35938,0.050874,2
4.528673,-1.985497,-0.296115,-2.879728,-1.949939,0.811208,0.361035,0.177698,-0.031752,2
4.882523,-2.066494,-0.113429,-2.912118,-2.046072,0.940113,0.314801,0.177806,-0.001434,2
4.603227,-2.660965,-0.188864,-0.894351,-1.738221,-0.221796,0.518294,0.22549,0.025773,2
0.322821,0.916876,0.230563,0.408773,0.80043,-0.158548,0.136769,-0.343015,-0.031167,2
0.254157,1.017335,0.034576,0.595912,-0.544496,0.406931,0.004055,-0.011719,0.035288,2
0.024633,0.801167,-0.070734,0.808073,-0.42893,0.215237,-0.199701,-0.128096,0.015066,2
0.185275,0.889039,0.411153,0.475992,0.420945,0.048756,-0.255291,-0.093639,0.019682,2
-0.834491,0.515606,0.388283,1.066085,-0.353897,-0.155175,-0.781471,-0.064809,0.018235,2
-0.058021,1.093022,0.937672,-0.226543,2.149269,-0.575271,-0.114393,0.008381,0.00966,2
-0.689518,0.837635,-0.016753,0.673908,-0.39376,-0.042814,-0.231056,0.123717,0.066734,2
0.090091,0.795763,0.05216,0.628704,-0.519456,0.257345,-0.146537,-0.06779,0.039191,2
-0.320451,1.162132,0.662219,-0.6827,1.374562,-0.101892,-0.244724,-0.148836,0.006124,2
-0.572121,0.923315,-0.168131,0.132749,-0.438144,0.245437,-0.25313,-0.05328,0.028832,2
-0.779974,0.635466,0.129518,0.493392,-0.414142,0.014895,-0.550546,-0.149611,0.014519,2
0.788912,0.607668,-0.194322,0.479286,-0.611204,0.451401,0.243326,-0.923083,0.024788,2
0.274373,0.763561,0.638474,-0.045974,0.476485,0.151201,-0.401889,-0.250073,-0.001909,2
-0.123452,1.060877,-0.132443,0.008522,-0.554572,0.397352,-0.074565,0.342802,0.025595,2
1.122275,-0.609862,0.571125,0.320918,0.771564,-0.920923,-0.077593,-0.129093,-0.00728,2
0.65255,-0.890662,0.796177,0.015623,0.883028,-0.428811,-0.136616,-0.281863,-0.019626,2
1.077912,-1.355058,0.646627,0.147922,0.792424,-1.3753,-0.385967,0.257417,0.044099,2
1.385893,-1.590004,-0.222265,0.024609,-0.979288,-0.760298,-0.066161,0.062378,0.034886,2
3.431813,-3.104249,0.627338,0.062427,-0.534665,-1.317768,-0.269496,0.158525,-0.034546,2
-0.007463,1.021229,-0.18235,0.801009,-0.428929,0.21433,0.085553,-0.07373,0.008959,2
0.093727,0.644206,0.722417,1.055746,0.977205,-0.448665,-0.471428,0.051361,0.012915,2
-0.124186,1.012817,-0.329648,0.45289,-0.417682,0.307548,0.025265,-0.224713,-0.003341,2
0.615737,1.097319,0.863415,0.017437,2.014605,-0.392837,0.010048,0.081559,-0.002433,2
0.336017,1.293838,-0.086602,-0.286207,0.541777,0.215088,0.396679,-0.159163,-0.043845,2
-0.540749,1.027418,0.032262,-0.175138,-0.518608,0.492406,-0.373892,-0.17754,0.023879,2
-0.764575,1.214439,-0.145089,-0.567819,-0.526014,0.572903,-0.179758,-0.310977,0.022073,2
-0.772964,1.076523,0.007582,-0.371654,-0.515594,0.493226,-0.386479,-0.246319,-0.010939,2
-0.657663,0.775024,0.176364,0.394681,-0.479186,0.094884,-0.407835,-0.018494,0.004314,2
0.479187,1.013379,0.139066,-0.083407,1.033279,0.020984,0.524122,-0.144811,-0.011838,2
-0.056816,1.224322,0.712666,-0.846601,1.696367,-0.09789,0.100518,0.00278,-0.028733,2
-0.699522,0.746416,0.320435,-0.031895,-0.539795,0.323333,-0.673467,-0.17415,0.000945,2
0.307402,1.050041,0.388833,-0.849698,1.538111,-0.337519,0.28717,0.301946,-0.024891,2
0.972241,1.15918,1.11556,-0.623068,2.486938,-0.389874,0.238401,-0.016432,0.018192,2
0.111205,0.737309,-0.994405,0.568481,-0.240111,0.140195,-0.058516,0.124176,-0.027029,3
-0.493708,0.951598,-0.226132,0.293356,-0.439799,0.109407,-0.12273,0.346743,0.013713,3
-0.166031,0.964837,0.125964,-0.012058,0.416525,-0.058603,-0.105582,0.188293,-0.049584,3
-0.071772,1.300265,0.201528,-0.634032,-0.687713,0.913758,-0.283459,0.390263,0.293284,3
-0.310457,0.753314,0.793053,-0.191184,1.01563,-0.242693,-0.610084,0.086784,-0.027526,3
1.518217,-0.048881,-0.721654,2.190029,-0.283511,-0.304688,0.01091,0.162019,-0.070283,3
0.587539,0.956684,-1.481253,0.450637,-0.276837,0.177574,0.588762,0.342846,-0.044211,3
-0.44875,0.952792,-0.329253,0.332727,-0.450952,0.017612,0.109429,0.388184,0.061892,3
-0.003958,0.958391,0.079512,0.025527,-0.627245,0.399879,-0.161245,0.375843,0.007772,3
-0.278197,1.008306,-0.385281,-0.205243,-0.522694,0.321532,0.012002,0.264513,-0.006273,3
