@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute Class {setosa,versicolor,virginica}
@attribute IsCC {FALSE,TRUE}

@data
-2.257141,-0.478424,0.12728,0.024088,setosa,TRUE
-2.074013,0.671883,0.233826,0.102663,setosa,TRUE
-2.356335,0.340766,-0.044054,0.028282,setosa,TRUE
-2.291707,0.5954,-0.090985,-0.065735,setosa,TRUE
-2.381863,-0.644676,-0.015686,-0.035803,setosa,TRUE
-2.068701,-1.484205,-0.026878,0.006586,setosa,TRUE
-2.435868,-0.047485,-0.33435,-0.036653,setosa,TRUE
-2.225392,-0.222403,0.088399,-0.02453,setosa,TRUE
-2.326845,1.111604,-0.144592,-0.02677,setosa,TRUE
-2.177035,0.467448,0.252918,-0.039766,setosa,TRUE
-2.159077,-1.040206,0.267784,0.016676,setosa,TRUE
-2.318364,-0.132634,-0.093446,-0.133038,setosa,TRUE
-2.211044,0.726243,0.23014,0.002417,setosa,TRUE
-2.624309,0.958296,-0.180192,-0.019151,setosa,TRUE
-2.191399,-1.853847,0.471322,0.194082,setosa,TRUE
-2.254661,-2.677315,-0.030425,0.050365,setosa,TRUE
-2.200217,-1.478656,0.005326,0.188187,setosa,TRUE
-2.183036,-0.487206,0.044068,0.09278,setosa,TRUE
-1.892233,-1.400328,0.373093,0.060892,setosa,TRUE
-2.335545,-1.124084,-0.132188,-0.03763,setosa,TRUE
-1.907931,-0.407491,0.419886,0.010885,setosa,TRUE
-2.199644,-0.921036,-0.159332,0.059398,setosa,TRUE
-2.765081,-0.456813,-0.33107,0.019583,setosa,TRUE
-1.812597,-0.085273,-0.034373,0.150636,setosa,TRUE
-2.219727,-0.136796,-0.1176,-0.269238,setosa,TRUE
-1.945329,0.62353,0.30462,0.043416,setosa,TRUE
-2.044303,-0.241355,-0.086076,0.067454,setosa,TRUE
-2.161336,-0.525389,0.206126,0.010241,setosa,TRUE
-2.13242,-0.312172,0.270245,0.083978,setosa,TRUE
-2.257698,0.336604,-0.068207,-0.107918,setosa,TRUE
-2.132976,0.502856,0.074758,-0.048028,setosa,TRUE
-1.825479,-0.42228,0.269564,0.239069,setosa,TRUE
-2.606217,-1.787587,-0.047071,-0.228471,setosa,TRUE
-2.43801,-2.143547,0.082392,-0.048053,setosa,TRUE
-2.10293,0.458665,0.169706,0.028926,setosa,TRUE
-2.200437,0.205419,0.224689,0.168344,setosa,TRUE
-2.038318,-0.659349,0.48292,0.195703,setosa,TRUE
-2.518893,-0.590315,-0.019371,-0.136049,setosa,TRUE
-2.42152,0.901161,-0.192609,-0.009706,setosa,TRUE
-2.162466,-0.267981,0.175297,0.007024,setosa,TRUE
-2.278841,-0.440241,-0.034778,0.106626,setosa,TRUE
-1.851918,2.329611,0.203552,0.288896,setosa,TRUE
-2.545112,0.477501,-0.304746,-0.066379,setosa,TRUE
-1.957889,-0.47075,-0.308568,0.176502,setosa,TRUE
-2.129924,-1.138415,-0.247604,-0.150539,setosa,TRUE
-2.062834,0.708679,0.063716,0.139801,setosa,TRUE
-2.376771,-1.116689,-0.057027,-0.151723,setosa,TRUE
-2.386382,0.384957,-0.139002,-0.048672,setosa,TRUE
-2.222003,-0.994628,0.180887,-0.014878,setosa,TRUE
-2.196475,-0.009186,0.152519,0.049207,setosa,TRUE
1.098102,-0.860091,0.6823,0.034717,versicolor,TRUE
0.728896,-0.592629,0.093807,0.004887,versicolor,TRUE
1.236836,-0.61424,0.552157,0.009392,versicolor,TRUE
0.406123,1.748546,0.023025,0.065549,versicolor,TRUE
1.071884,0.207725,0.396926,0.104387,versicolor,TRUE
0.38739,0.591303,-0.123777,-0.240027,versicolor,TRUE
0.744037,-0.770438,-0.148472,-0.077111,versicolor,TRUE
-0.485696,1.846244,-0.248433,-0.040385,versicolor,TRUE
0.924803,-0.032118,0.594179,-0.02978,versicolor,TRUE
0.011388,1.030566,-0.5371,-0.028366,versicolor,TRUE
-0.109828,2.645211,0.046634,0.013715,versicolor,TRUE
0.439222,0.063084,-0.204389,0.039992,versicolor,TRUE
0.560231,1.758832,0.763215,0.045578,versicolor,TRUE
0.717159,0.185603,0.06843,-0.164257,versicolor,TRUE
-0.033243,0.437537,-0.194282,0.108684,versicolor,TRUE
0.872484,-0.507364,0.50183,0.104593,versicolor,TRUE
0.349082,0.195656,-0.489234,-0.19087,versicolor,TRUE
0.15828,0.789451,0.301029,-0.204612,versicolor,TRUE
1.221003,1.616827,0.480694,0.225146,versicolor,TRUE
0.164367,1.29826,0.172261,-0.051554,versicolor,TRUE
0.73522,-0.395247,-0.614468,-0.083006,versicolor,FALSE
0.474697,0.415927,0.264068,0.113189,versicolor,TRUE
1.230057,0.930209,0.367182,-0.009911,versicolor,TRUE
0.630745,0.414997,0.290922,-0.273305,versicolor,TRUE
0.700315,0.0632,0.444538,0.043313,versicolor,TRUE
0.871355,-0.249956,0.471001,0.101376,versicolor,TRUE
1.252314,0.076998,0.724727,0.039556,versicolor,TRUE
1.35387,-0.330205,0.259956,0.066605,versicolor,TRUE
0.662581,0.225174,-0.085577,-0.036318,versicolor,TRUE
-0.040124,1.055184,0.318506,0.064572,versicolor,TRUE
0.130358,1.557056,0.149483,-0.009371,versicolor,TRUE
0.023374,1.567225,0.240746,-0.032663,versicolor,TRUE
0.240732,0.774661,0.150707,0.023572,versicolor,TRUE
1.057552,0.631727,-0.10496,-0.183354,versicolor,TRUE
0.223231,0.286813,-0.663029,-0.253978,versicolor,TRUE
0.427706,-0.842759,-0.449129,-0.109309,versicolor,TRUE
1.045226,-0.520309,0.394465,0.037085,versicolor,TRUE
1.041044,1.378371,0.685998,0.136379,versicolor,TRUE
0.069356,0.21877,-0.290606,-0.146653,versicolor,TRUE
