@relation R_data_frame

@attribute X1 numeric
@attribute X2 numeric
@attribute Class {M,R}
@attribute IsCC {FALSE,TRUE}

@data
-0.645694,0.243257,R,TRUE
-0.912034,-0.071557,R,TRUE
0.293316,-0.066088,R,TRUE
-0.401164,-0.071953,R,TRUE
-0.315085,0.208964,R,TRUE
0.108346,-0.278202,R,TRUE
-0.050717,0.024559,R,TRUE
0.153483,0.136934,R,TRUE
0.337042,-0.009336,R,TRUE
0.382671,0.035167,R,TRUE
0.312943,0.000407,R,TRUE
0.247729,-0.016246,R,TRUE
0.002547,0.135198,R,TRUE
0.111946,0.052997,R,TRUE
-0.042242,0.100776,R,TRUE
-0.009592,-0.055671,R,TRUE
0.156043,0.112952,R,TRUE
0.215715,-0.050271,R,TRUE
-0.805118,-0.118433,R,TRUE
-0.255971,-0.209677,R,FALSE
-0.131427,0.114758,R,FALSE
0.086733,0.052001,R,TRUE
0.350907,-0.052373,R,TRUE
0.383124,-0.063736,R,TRUE
0.346152,-0.016989,R,TRUE
0.190542,0.019771,R,TRUE
0.049664,0.287335,R,TRUE
-0.059707,0.007954,R,TRUE
-0.129681,0.09456,R,TRUE
0.160599,0.152563,R,TRUE
0.212549,-0.019893,R,TRUE
0.298729,0.080458,R,TRUE
0.159265,0.022294,R,FALSE
0.092189,0.059574,R,TRUE
0.09458,-0.088841,R,TRUE
0.33749,-0.105443,R,TRUE
0.295154,-0.075148,R,TRUE
0.364812,-0.027027,R,TRUE
0.319461,-0.091025,R,TRUE
0.122071,-0.102504,R,TRUE
0.323891,0.060847,R,TRUE
0.264119,0.021771,R,TRUE
0.000721,0.209989,R,TRUE
0.265418,-0.050634,R,TRUE
-0.018454,0.117862,R,TRUE
-0.053934,-0.062923,R,TRUE
0.145434,0.10052,R,TRUE
0.103233,0.196057,R,TRUE
0.039199,0.165279,R,TRUE
0.27551,0.042913,R,TRUE
0.334211,-0.034391,R,TRUE
0.201085,0.10532,R,TRUE
0.293716,-0.005184,R,TRUE
0.243494,0.045866,R,TRUE
0.192065,-0.01558,R,TRUE
0.143326,0.031983,R,TRUE
0.278742,-0.080076,R,TRUE
0.26249,-0.131172,R,TRUE
0.330586,-0.125028,R,TRUE
0.228104,-0.122935,R,TRUE
0.19732,-0.116963,R,TRUE
0.291926,-0.071236,R,TRUE
0.328937,-0.085548,R,TRUE
0.334913,0.040284,R,TRUE
0.352397,0.049879,R,TRUE
0.278037,0.062072,R,TRUE
0.260772,0.10057,R,TRUE
0.244813,-0.031789,R,TRUE
0.275031,-0.056495,R,TRUE
0.32889,-0.073474,R,TRUE
0.253778,-0.030589,R,TRUE
0.287703,-0.031073,R,TRUE
0.335336,-0.093639,R,TRUE
0.304113,-0.050624,R,TRUE
0.295885,-0.10674,R,TRUE
0.272419,-0.114443,R,TRUE
0.298703,-0.051698,R,TRUE
0.257537,0.03179,R,TRUE
0.277561,0.081413,R,TRUE
-0.062685,0.17661,R,TRUE
-0.22951,0.010586,R,TRUE
-0.094871,0.073856,R,TRUE
-0.165399,0.186594,R,TRUE
-0.09869,0.098687,R,TRUE
-0.104496,-0.267265,R,TRUE
0.083663,-0.1009,R,TRUE
0.014758,-0.303445,R,TRUE
0.116991,-0.11708,R,TRUE
-0.032724,-0.26084,R,TRUE
-0.199515,-0.226787,R,TRUE
-0.342538,0.037299,R,TRUE
0.172463,-0.036751,R,TRUE
-0.097993,0.152724,R,TRUE
0.120757,0.012445,R,TRUE
0.331051,-0.124272,R,TRUE
0.319484,-0.092314,R,TRUE
0.091204,0.01555,M,TRUE
-0.097439,0.020783,M,TRUE
0.110752,0.018836,M,TRUE
-0.451035,0.176871,M,TRUE
-0.636198,0.204858,M,TRUE
-0.211608,0.23927,M,TRUE
-0.165894,0.351176,M,TRUE
-0.26975,0.238752,M,TRUE
-0.030562,0.234467,M,TRUE
0.282805,0.079124,M,TRUE
0.176409,0.180174,M,TRUE
0.202351,0.085792,M,TRUE
0.315389,-0.070792,M,TRUE
0.218235,0.105726,M,TRUE
0.073709,0.0679,M,TRUE
-0.075402,0.16598,M,TRUE
0.006179,0.089272,M,TRUE
-0.043011,0.117426,M,TRUE
-0.047119,0.128051,M,TRUE
-0.091192,0.106668,M,TRUE
-0.043458,0.050984,M,TRUE
0.039635,0.018051,M,TRUE
-0.124476,0.086712,M,TRUE
0.083425,0.064908,M,TRUE
0.022865,0.052874,M,TRUE
-0.105075,0.02299,M,TRUE
-0.013652,-0.01016,M,TRUE
-0.28612,0.007781,M,TRUE
-0.300305,-0.032944,M,TRUE
-0.540552,0.131326,M,TRUE
-0.321997,-0.184849,M,TRUE
-0.307667,0.040235,M,TRUE
-0.451542,0.352979,M,TRUE
-0.428342,0.264926,M,TRUE
-0.199173,-0.502076,M,TRUE
-0.325201,-0.464306,M,TRUE
-0.447661,-0.47593,M,TRUE
-0.522094,-0.487672,M,TRUE
-0.378061,-0.515311,M,TRUE
-0.47118,-0.586603,M,TRUE
-0.657933,-0.219781,M,TRUE
0.00486,0.145212,M,TRUE
0.13982,0.041364,M,TRUE
-0.048227,-0.039874,M,TRUE
0.090623,-0.004013,M,TRUE
-0.009038,0.048435,M,TRUE
-0.132012,0.07874,M,TRUE
0.232975,-0.00468,M,TRUE
-0.078592,0.132736,M,TRUE
0.021849,0.052971,M,TRUE
-0.095104,-0.061644,M,TRUE
-0.196804,0.153051,M,TRUE
0.181635,-0.059375,M,TRUE
0.132753,-0.111915,M,TRUE
0.093114,-0.12507,M,TRUE
0.147201,-0.061752,M,TRUE
0.180822,-0.158781,M,TRUE
0.089963,-0.121595,M,TRUE
0.267195,-0.137322,M,TRUE
-0.16533,-0.106539,M,TRUE
-0.056025,-0.000918,M,TRUE
-0.170867,-0.093089,M,TRUE
-0.119227,-0.133337,M,TRUE
-0.077876,-0.117422,M,TRUE
