@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute PC41 numeric
@attribute PC42 numeric
@attribute PC43 numeric
@attribute PC44 numeric
@attribute PC45 numeric
@attribute PC46 numeric
@attribute PC47 numeric
@attribute PC48 numeric
@attribute PC49 numeric
@attribute PC50 numeric
@attribute PC51 numeric
@attribute PC52 numeric
@attribute PC53 numeric
@attribute PC54 numeric
@attribute PC55 numeric
@attribute PC56 numeric
@attribute PC57 numeric
@attribute PC58 numeric
@attribute PC59 numeric
@attribute PC60 numeric
@attribute Class {M,R}
@attribute IsCC {FALSE,TRUE}

@data
0.449639,7.559395,1.268371,-3.872483,-2.059793,-2.130655,1.688303,1.796408,-0.203513,-1.240874,0.370995,0.606185,-0.216934,-0.866211,0.883354,0.416838,-0.523079,-1.007958,0.27443,0.519579,2.416521,0.616616,0.018194,-0.234188,0.044635,-0.696186,0.176223,-0.236033,-0.156693,0.65292,0.263562,-0.1759,0.42781,-0.444704,-0.145492,0.206502,0.23473,-0.685764,0.584463,-0.667518,0.490326,0.239446,-0.052892,-0.327763,0.183903,0.332288,0.136208,-0.140952,0.082734,-0.577774,0.080742,-0.186291,0.366846,-0.064537,0.130581,0.379832,0.038205,0.301402,0.050122,0.061456,R,TRUE
-3.884441,6.400461,0.025805,-5.437397,-1.527244,1.240023,1.91266,-1.356673,1.179661,-1.012856,-0.560264,-0.315987,1.935775,-1.484408,1.551757,-1.853861,-1.226948,-0.563856,0.485465,2.060065,1.724802,-1.739889,-0.33544,1.872647,0.793601,0.092519,-1.035894,0.224836,0.496845,-0.050092,-0.261281,-0.287437,-0.078257,0.043615,-0.070941,0.625227,0.390052,0.922448,-0.12141,0.800987,-0.17905,0.372432,-0.216965,-0.151703,0.440164,-0.724425,-0.162943,-0.114761,-0.270385,0.523785,0.298835,-0.036359,0.326337,-0.022746,0.232947,-0.085422,-0.228727,-0.180878,-0.036478,0.039865,R,TRUE
-4.581374,-3.113045,1.796602,1.101951,2.803242,-2.041325,-2.262409,1.436844,-0.405331,-1.192435,0.887551,-0.05093,1.424554,0.064221,-0.507226,0.167984,0.120968,2.495773,1.885807,1.385044,-0.201056,1.051525,-0.688953,1.143581,-0.300394,0.465039,-0.003085,0.220295,1.379816,-0.653903,0.017023,0.72484,0.248206,-0.244376,-0.523772,0.022089,1.255411,0.211597,-0.265367,-0.482629,0.276937,-0.080146,0.356048,-0.574673,-0.363658,-0.218377,0.174995,0.174907,0.560274,0.297708,-0.051089,0.107524,0.287262,0.196559,-0.196236,0.145631,-0.259466,0.039907,-0.019763,-0.091424,R,TRUE
0.521591,1.837355,0.866737,-3.322364,-2.753913,-0.760707,-0.44794,0.762956,-0.194471,-0.043047,-1.331392,1.618026,-0.768849,1.182208,-0.676934,-1.117982,-0.662112,0.632954,-0.616356,0.972688,-0.975354,-0.140738,0.132578,1.16126,-0.032608,0.021341,0.448489,-0.588628,-1.549231,0.677063,0.653854,0.799254,1.298737,-0.377419,0.454726,0.838014,0.058596,-0.311447,0.438374,0.27807,0.016966,-0.258354,0.237537,0.529772,-0.384785,0.166449,-0.155744,0.316528,-0.162103,0.110453,0.073074,0.325198,-0.149266,-0.322818,0.157921,0.165126,0.139237,0.348106,-0.15029,-0.098608,R,TRUE
1.216692,3.769336,1.949585,-3.083159,-0.444141,-4.23565,1.954016,2.219714,-0.647126,-1.328219,-1.825151,1.079205,-0.222727,-0.183095,0.489148,-0.363066,-0.552693,1.386664,0.222848,0.366163,-0.092085,0.928084,-1.180268,0.15156,-0.484728,-0.819714,-0.312711,-0.589302,0.608102,-0.029828,0.298033,0.657757,-0.172299,0.203084,0.136474,-0.073157,0.643814,-0.70105,-0.377913,-0.086843,-0.298788,-0.811908,-0.323176,-0.737401,0.38606,0.301564,0.072234,0.196489,0.080596,0.026505,0.084861,0.128004,-0.359867,0.008033,-0.264248,-0.201738,0.208766,-0.134551,-0.016426,-0.02117,R,TRUE
-1.885281,2.471722,1.591829,1.667636,-0.240452,2.449077,-0.965861,1.006141,-1.201115,0.545883,0.18313,-0.09893,0.839646,-2.251116,1.061979,-1.302306,0.210371,2.22907,0.314791,1.210147,-0.868776,1.420967,-0.89326,-0.285573,0.194523,-1.360452,-1.503747,1.804563,-0.709122,-0.15015,0.570868,0.887178,0.330296,-0.654419,-0.324277,0.010224,-0.375308,0.16316,0.229314,0.437061,0.536067,0.38665,0.12112,-0.169935,0.029287,0.059422,0.079132,0.281658,0.050644,0.00909,0.128699,0.25611,0.004663,-0.540594,-0.231655,0.203446,-0.051756,-0.19319,0.057075,-0.011291,R,TRUE
2.044572,2.315802,0.241531,0.377651,0.12727,0.715106,-2.735293,0.693969,0.765867,-0.108703,-0.630923,0.405483,0.288649,-0.176792,0.51434,2.424201,-0.36546,0.657806,-0.290379,-0.66055,0.609521,-0.435043,-0.819597,-0.374005,-1.080639,0.106495,-0.785502,-0.116804,0.064869,0.271456,-0.093196,0.171846,0.151233,1.141923,-0.418235,1.098556,1.208609,1.040946,-0.783927,-0.650239,-0.153676,-0.011139,0.437035,0.100943,-0.007879,0.000433,-0.330682,0.271078,0.000264,-0.115825,-0.185924,-0.087241,0.017429,-0.00103,0.004672,0.039197,0.124555,0.138328,0.359154,0.054428,R,TRUE
1.636366,0.254739,0.154391,1.842295,0.774336,-1.114635,-2.154153,-0.643049,1.227371,1.216585,0.603962,-0.517034,0.898682,-0.682384,-0.909966,0.39636,0.126489,-0.756294,-1.374065,-1.083481,-0.105919,1.611226,-0.877477,0.715425,0.156384,-0.968184,-0.965719,-0.517029,-0.795939,-0.381756,-1.947086,-0.023376,-0.616744,-0.514489,0.148447,0.609736,0.62242,-0.152131,0.181936,0.054968,-0.285606,0.350668,0.058274,-0.146889,0.204727,-0.138104,-0.386169,-0.000718,0.505922,-0.151107,0.038348,-0.337503,-0.270092,0.218173,0.069795,0.035909,-0.085334,0.122109,-0.218987,-0.009183,R,TRUE
4.268283,-2.413127,-0.887844,2.205492,-1.366819,0.598245,-0.311916,-1.556294,0.457348,0.428788,0.431651,-0.552802,-0.373516,-0.134403,-0.328565,-0.281809,-0.512754,1.181317,0.107646,1.052105,0.365923,0.496256,1.835731,0.08243,0.608824,-0.245814,0.110092,-0.450485,-0.47994,-0.640017,-0.148829,0.008679,0.680304,0.001448,0.479333,-0.010418,0.160649,0.049115,0.35539,0.052497,0.318595,0.047868,0.358879,0.576093,-0.197135,0.133433,0.267099,-0.21269,-0.182005,0.07343,0.112087,0.187156,0.129026,0.03735,-0.062869,-0.207102,-0.001001,-0.059163,0.060502,0.021084,R,TRUE
1.462049,-6.302853,2.170444,-0.415034,-1.601712,-0.131195,0.842581,-0.41239,0.629234,0.208994,-0.262342,-0.166856,0.988022,-0.593371,-0.286766,-0.08503,0.200743,0.826268,0.915587,-0.059754,0.201923,0.241719,0.026588,-0.717771,-0.795783,-0.610154,0.063275,0.040504,0.278161,0.170034,0.10492,0.179798,0.145448,-0.194122,0.155327,-0.72563,-0.388923,-0.311771,-0.070317,-0.109279,-0.114873,-0.178692,0.061558,0.040921,-0.12151,-0.100799,-0.124385,-0.10655,-0.052765,0.261968,-0.0794,-0.100804,0.046534,0.063412,0.13854,-0.026034,-0.006024,0.029622,-0.009202,-0.067687,R,TRUE
2.455618,-1.241255,1.473427,1.664081,-0.480635,-0.361351,-2.295824,-2.281446,1.523409,0.786149,-1.370336,-2.266545,0.029337,-1.273897,-0.19299,-0.318822,-0.380082,1.053937,-0.382565,-0.689157,-0.017028,1.263626,-0.255176,-0.007388,0.281513,-0.259314,-0.870469,-0.200159,0.052345,-0.974,0.055171,0.438884,0.519933,-0.673108,0.043493,-0.039513,0.111351,-0.413629,0.039427,0.032554,-0.308629,-0.04759,-0.141315,-0.195525,0.354733,-0.372299,0.058981,-0.104286,-0.328014,0.026454,-0.00971,-0.145398,0.307438,0.164273,0.068917,0.067265,-0.010042,0.144502,-0.038615,0.005726,R,TRUE
