@relation R_data_frame

@attribute X1 numeric
@attribute X2 numeric
@attribute Class {M,R}

@data
-52.814237,-36.631824,R
42.560762,30.430061,R
39.962284,42.609321,R
-65.832558,-48.962793,R
-56.74529,-27.087394,R
48.756969,-44.373969,R
36.02163,-35.629582,R
-15.208443,30.059227,R
-18.166984,5.025396,R
-25.154449,12.394007,R
-13.294946,22.214456,R
0.950614,-4.524582,R
43.937961,-64.019213,R
24.95171,-2.905456,R
-77.39397,22.337802,R
52.516042,-31.166042,R
30.009117,-59.828661,R
22.010935,-22.606048,R
-28.383141,-68.375188,R
-20.571767,-60.788951,R
42.387683,-24.381975,R
36.71895,-48.129975,R
17.237082,1.060465,R
-47.809798,-48.940192,R
37.74104,8.95714,R
-27.262578,-33.12665,R
-53.597688,18.636933,R
-73.678266,-34.752555,R
-57.04694,31.763564,R
22.884787,61.190257,R
-8.93287,71.183952,R
35.216374,-78.51078,R
-50.074699,6.366373,R
10.99348,62.452045,R
11.862362,-25.824468,R
-38.869033,8.325522,R
-35.236046,13.347757,R
-33.801584,20.12281,R
-41.221087,18.149359,R
-13.081919,40.45355,R
-27.002762,6.620994,R
26.452794,-16.532934,R
31.709853,-20.006208,R
67.803837,-34.978026,R
64.387649,-56.792363,R
60.303613,-54.969131,R
50.000962,18.695713,R
56.187461,20.732802,R
60.284007,22.945355,R
-22.248477,20.216416,R
26.558403,-30.597408,R
-9.751474,3.700943,R
-12.528459,8.718343,R
-10.033038,15.040493,R
-14.852711,14.042763,R
-6.582377,10.257847,R
7.443135,-7.87477,R
17.218034,-10.363395,R
13.125086,-6.211757,R
11.525347,-11.855512,R
10.177321,-18.56695,R
16.120047,-16.469558,R
3.334413,-13.13345,R
16.823683,-53.858806,R
9.78795,-58.872681,R
11.901995,-63.50802,R
16.228595,-60.082043,R
45.959465,6.586698,R
-41.877759,37.817947,R
-37.492805,32.57861,R
-46.025286,34.969276,R
-42.02402,29.985702,R
-28.027986,28.687754,R
0.542445,-23.34811,R
12.040057,-37.015644,R
9.469212,-40.802305,R
1.385442,-37.216241,R
4.123756,-32.93832,R
-5.382658,-36.306933,R
-17.046224,-34.891885,R
-72.745831,-18.865144,R
-78.410881,-18.310121,R
-71.106626,-23.737707,R
-67.822148,-15.268343,R
4.684986,-88.853002,R
-1.63435,-90.109498,R
-6.016955,-93.376673,R
-1.543546,-83.025667,R
2.554462,-95.000501,R
21.767505,-36.78287,R
-62.376469,44.586857,R
-5.936762,48.411151,R
-12.812914,58.318163,R
-7.889544,53.120339,R
-4.690531,-62.980562,R
-7.055868,-67.402173,R
26.232401,-49.327769,M
75.828805,47.98713,M
-0.741383,59.387227,M
-70.115105,2.41279,M
-65.688196,11.120095,M
-65.169013,1.911648,M
-54.264561,-3.234765,M
-40.225843,-36.320947,M
-36.581038,-5.783447,M
-25.205706,-12.478894,M
-32.007069,-11.552405,M
-30.906539,-17.34323,M
-24.397358,-4.382385,M
-21.45182,-18.129293,M
72.34965,41.750168,M
-39.777759,-14.273275,M
-27.290102,-22.709748,M
-17.982082,-25.865486,M
-33.694775,-26.399924,M
-13.997782,-2.041614,M
-17.988907,-7.492527,M
-13.19779,-20.472115,M
-15.70548,-13.174206,M
-10.45128,-9.011002,M
-5.204215,-10.248405,M
-5.429571,-18.732042,M
-9.01407,-15.152602,M
31.841698,37.517917,M
-53.056963,-18.06315,M
-46.491058,-32.440701,M
-46.147022,-61.650971,M
-43.906227,-24.016894,M
-42.431037,-3.06266,M
-47.769051,-9.440831,M
-63.338079,-64.803872,M
10.734379,81.018621,M
20.063596,87.196735,M
28.226249,79.290567,M
4.764938,83.051365,M
23.010551,83.005901,M
-50.997315,62.110454,M
-37.343474,51.890347,M
1.276238,-48.266854,M
80.872387,-13.962543,M
76.854986,24.130074,M
82.69157,13.318657,M
77.325277,10.036511,M
71.472015,7.079716,M
32.298846,-7.22428,M
85.54253,-9.852037,M
64.086851,-2.596342,M
-6.178078,28.93868,M
23.056962,31.898552,M
-3.256477,0.097659,M
-7.903722,-28.467631,M
18.592918,-75.844796,M
-12.529493,-45.802537,M
-16.843072,-43.354611,M
-12.246189,-50.8578,M
42.038978,-11.510883,M
54.665883,-8.939438,M
44.364971,-3.370048,M
50.74386,-2.266435,M
46.719404,-7.979826,M
54.552895,-13.567297,M
31.776375,14.731332,M
38.418405,18.833599,M
56.191933,41.122139,M
54.083012,36.767466,M
63.744162,-20.749719,M
31.216045,26.167384,M
-29.242074,-50.062565,M
-30.594616,-45.294884,M
-34.638794,-51.180557,M
21.211545,43.097898,M
12.224437,50.960595,M
29.507691,4.844272,M
32.34489,52.785185,M
42.707212,59.223077,M
46.887216,60.84953,M
8.073953,1.351223,M
20.083728,23.031705,M
-5.546509,36.010252,M
-29.46605,66.829037,M
-26.634676,83.647161,M
-32.226249,79.55348,M
-29.315601,74.742226,M
-41.739094,70.150606,M
-34.511656,72.810722,M
63.521098,-14.571896,M
2.374776,44.251357,M
7.207835,45.549573,M
18.925657,8.620957,M
15.053174,19.007238,M
14.964767,12.577344,M
10.568304,13.731084,M
20.866412,15.835324,M
-2.969991,18.381987,M
1.795725,24.821167,M
3.686718,31.260359,M
6.05726,21.772115,M
8.421462,26.610165,M
13.680142,29.785184,M
14.1748,36.726991,M
8.3737,34.286011,M
-21.671754,47.141286,M
-28.867255,48.357424,M
-23.280357,38.615997,M
-26.519453,42.038201,M
2.058157,12.238884,M
2.214855,7.416635,M
