@relation R_data_frame

@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute Class {1,2,3}
@attribute IsCC {FALSE,TRUE}

@data
-2.223934,-0.301458,-2.027169,0.281109,-0.258805,0.924991,0.079499,-1.023566,0.312259,-0.130885,-0.152819,-0.399901,0.001895,1,TRUE
-2.52476,1.059252,0.973961,-0.733646,-0.19804,-0.555675,0.431127,0.334662,1.175733,-0.006733,-0.274595,-0.00337,0.021545,1,TRUE
-3.744056,2.797373,-0.17986,-0.575492,-0.257142,-0.099825,-0.363892,-0.645018,-0.067714,-0.372264,0.694465,0.240418,-0.369418,1,TRUE
-1.017245,0.885867,2.018145,0.431568,0.274456,0.401998,0.453434,-0.410868,-0.337103,0.096048,-0.539928,0.187265,-0.081589,1,TRUE
-3.040574,2.163868,-0.63694,0.486248,-0.629572,-0.130447,0.420105,-0.397603,0.113133,0.019969,0.388017,0.379779,0.144171,1,TRUE
-2.451274,1.20365,-0.98544,0.004665,-1.027189,0.611728,0.065952,0.374216,0.532621,-0.922542,-0.557314,-0.18821,-0.273844,1,TRUE
-2.055773,1.635844,0.143361,1.196313,0.010455,1.441049,0.058228,-0.227622,-0.081389,-0.790904,0.187585,-0.41017,-0.113144,1,TRUE
-2.51132,0.958119,-1.777338,-0.10442,-0.871231,0.120827,0.133953,0.505606,-0.599117,-0.176951,-0.570545,0.591537,0.139423,1,TRUE
-2.760141,0.822189,-0.986159,-0.373844,-0.436575,-0.143837,-0.86746,-0.152527,-0.21302,-0.190669,-0.003143,-0.564267,-0.044249,1,TRUE
-3.479291,1.351357,-0.428104,-0.039868,-0.315988,0.178175,0.27232,1.194771,0.484555,0.133586,0.751897,0.101901,0.123081,1,TRUE
-1.761384,0.644885,-1.198824,0.843975,-0.779127,0.552535,-0.413206,0.980431,0.485808,-0.195674,0.017645,0.15728,0.142352,1,TRUE
-2.122683,0.708418,-0.877788,0.287911,-1.213963,0.209729,-0.219223,0.451506,0.863128,0.143973,0.084124,0.103204,-0.003858,1,TRUE
-3.456688,1.178782,-1.223881,-0.272042,-1.978214,-0.786873,1.476507,0.380879,0.001144,0.36254,-1.222315,0.726464,0.223145,1,TRUE
-4.301429,2.148637,-1.274283,-0.357545,-0.971203,-0.817025,1.012253,0.393656,0.794181,0.426003,-0.262774,0.138289,-0.095057,1,TRUE
-2.30192,1.696118,0.206371,1.414215,-0.529898,0.423741,-0.151402,-0.095345,0.340039,0.79605,0.219176,-0.473792,-0.065945,1,TRUE
-2.161324,2.360305,0.823881,0.914387,-0.036556,0.066575,0.123558,0.399579,-0.07911,-0.067882,0.041473,0.484575,0.335842,1,TRUE
-1.896827,1.663064,0.785239,1.060866,-0.477184,-0.364957,0.099639,-0.114377,-0.430079,0.303365,0.32479,0.266787,0.557115,1,TRUE
-3.530115,2.566134,-0.497538,0.850423,-1.164956,-0.305264,-0.006391,0.019854,0.354999,0.666757,1.01166,-0.120697,0.514504,1,TRUE
-2.086821,1.085781,-0.163622,-0.427142,0.907485,1.401071,-0.070378,-0.577017,-0.065756,0.231933,-0.816034,-0.321116,0.055246,1,TRUE
-3.123048,0.82593,-0.357457,0.085407,0.981161,0.116725,0.259958,-0.173396,-1.288334,-0.41304,-0.541629,-0.538322,-0.033613,1,TRUE
-1.104911,0.251768,0.933537,-1.00568,0.361135,1.206717,0.322185,0.101447,0.577857,0.219558,-0.609408,-0.695513,-0.305525,1,TRUE
-2.550369,-0.060084,-0.316476,0.025412,-0.435898,1.015857,-0.112618,0.081175,-0.045307,-0.81244,-0.189175,-0.519591,-0.047906,1,TRUE
-1.667821,-0.49362,0.136035,0.391244,-0.403444,0.793928,-0.648149,-0.198133,0.730319,-0.404193,-0.060261,-0.488357,-0.34355,1,TRUE
-1.782871,-0.293874,0.879748,0.082338,-0.577599,0.906127,-0.610822,0.346122,-0.03243,-0.607234,-0.453963,-0.349191,-0.229342,1,TRUE
-0.999392,0.954864,3.805863,1.329814,0.075263,0.258987,0.482352,-0.087625,-0.078894,-0.431488,-0.514378,0.069782,-0.060965,1,TRUE
-1.787394,0.708993,-0.10065,0.170807,-1.14908,0.572351,-0.433186,-0.909668,0.761095,-0.393647,-0.082365,0.203773,0.002038,1,TRUE
-1.251617,-0.061764,-1.389295,0.475808,-0.39218,0.61048,-0.337426,0.231355,0.730175,-0.370439,0.820852,0.400069,0.010379,1,TRUE
-2.196904,0.720008,1.378149,0.732854,-0.853112,0.595031,0.131631,0.078435,-0.45617,0.052487,-0.547109,-0.081201,-0.200801,1,TRUE
-2.267554,0.221798,-1.094457,-0.313767,-0.463691,0.336862,-0.15349,0.474203,-0.077523,-0.791308,-0.226794,-0.174699,-0.447897,1,TRUE
-2.505128,1.279438,1.37089,0.334235,-0.628568,-0.577223,-0.403586,1.049081,0.497268,0.288616,0.404322,0.630336,0.087449,1,TRUE
-2.6776,1.510945,-0.335284,0.348396,-0.083976,-0.151481,-0.511248,0.517929,0.74343,0.119299,1.103222,0.038159,0.273736,1,TRUE
-1.64036,0.083496,-0.175134,0.714079,-0.663384,0.021622,0.982214,0.501566,-0.12808,-0.166268,-0.259794,0.17752,0.243341,1,TRUE
-1.89686,1.664797,1.164313,2.330416,-0.297242,0.313629,0.991831,-0.506578,-0.730451,-0.264487,0.56615,-0.124322,0.051562,1,TRUE
-1.417288,0.723802,0.472155,1.064381,0.041701,0.712842,-0.208678,0.227508,0.403941,-0.164254,-0.205103,0.205614,0.105634,1,TRUE
-1.919713,0.202874,0.44722,-0.290687,-0.148565,0.189594,-0.650793,0.354456,-0.183089,-0.370674,0.151974,-0.244986,0.131136,1,TRUE
-1.391201,0.681361,0.445157,1.272486,-0.26944,0.617928,-0.048819,-0.957397,0.29385,0.342259,-1.07012,0.118454,-0.063335,1,TRUE
-1.136862,0.140074,-0.050017,0.937244,-0.385679,0.410876,-0.382128,0.022446,0.818358,0.35443,0.049316,0.421764,0.007266,1,TRUE
-1.521645,-0.73528,-1.428805,0.751011,-0.190894,0.41326,-0.006174,0.022621,0.241888,0.247007,0.311388,0.194296,0.319146,1,TRUE
-2.521569,1.828832,-0.336372,-1.100315,1.364759,1.53563,0.991899,-0.757423,-0.719681,0.038861,-1.223837,-0.239151,-0.18375,1,TRUE
-2.591641,0.810221,-0.114523,-0.445619,0.448828,-0.722488,0.535758,-0.697351,-0.801532,-0.367085,-0.353031,-0.243291,0.072557,1,TRUE
-0.689116,0.184831,-0.78316,-1.323059,-0.299855,1.320765,0.061863,0.319265,0.259535,-0.023177,0.827779,0.10053,0.429271,1,TRUE
-3.074505,1.190608,-0.321212,-0.560215,-0.26947,0.826701,-0.980265,-0.927846,0.229233,-0.173267,-0.47721,0.163388,-0.024579,1,TRUE
-0.478938,0.338877,-0.198323,-1.407577,0.361933,1.021587,0.592204,-0.562581,-0.310219,0.044871,-0.081404,0.037019,0.200157,1,FALSE
-2.116344,-0.042679,-0.64897,-0.722158,0.528272,-0.36065,0.018515,-0.620384,-0.286891,-0.524924,0.393093,-0.06974,0.079241,1,TRUE
-1.137842,1.791814,0.028665,-0.684837,-0.028036,1.911734,0.210245,-0.253271,-0.55844,-0.322559,0.535008,-0.056006,0.059867,1,TRUE
-2.730416,1.225552,-0.54368,-1.404115,-0.410829,0.996225,0.766001,0.243993,-0.470305,0.042751,0.029456,0.185091,-0.153285,1,TRUE
-2.828134,0.68255,-1.152964,-0.980434,0.060414,-0.275186,-0.46942,-0.140108,-0.398519,-0.311447,0.067039,0.064985,0.187087,1,TRUE
-2.011886,1.277498,-0.062472,-0.249504,-0.355874,-0.529651,0.228868,0.798995,-0.125575,0.013255,-0.119137,0.301619,0.12772,1,TRUE
-2.703972,1.786085,-0.643931,0.075489,-0.471971,-0.72667,0.009262,0.242026,-0.208426,0.216158,0.589095,-0.72992,0.54609,1,TRUE
-3.22488,0.208429,-1.97171,-1.113786,0.109436,-1.231004,0.264477,0.450979,1.184961,0.713931,-0.246143,-0.393212,0.081239,1,TRUE
-2.866265,0.781954,-0.008154,0.169505,-0.764765,0.191897,-0.335966,1.061932,1.004854,0.032203,-0.523217,-0.327166,-0.05201,1,TRUE
-3.50206,1.655176,-0.527641,-0.128315,-0.563731,-0.181479,0.169765,-1.421021,-0.460274,0.317646,0.310737,0.090971,-0.131979,1,TRUE
-2.219656,1.906271,0.329141,1.176431,-0.622572,0.236291,0.485088,-0.402625,0.286844,0.035883,0.308421,0.002218,-0.160064,1,TRUE
-2.146965,1.04707,-0.950028,0.292993,0.876727,0.38012,-0.400816,-0.284954,-0.258753,-0.510463,0.095684,-0.205054,0.292559,1,TRUE
-2.469346,1.362167,0.516529,-0.199451,0.93815,-0.535808,-0.355673,0.534738,0.130934,-0.20876,0.296672,0.163838,-0.241908,1,TRUE
-2.737039,1.471416,-0.608399,-0.17541,0.461021,-0.10451,-0.038516,-0.342466,-0.918433,-0.431542,-0.129447,0.010644,-0.16578,1,TRUE
-2.178616,1.242465,0.248315,0.470201,-0.705385,0.257312,-0.189193,-0.620979,0.787822,0.478804,0.149393,0.148809,0.112253,1,TRUE
-3.135724,1.772226,-0.290534,-0.21783,0.1109,-0.329972,-0.821583,-0.630838,0.373367,0.163941,0.263687,0.567789,0.164111,1,TRUE
0.890952,-3.053246,-4.572177,1.077932,0.422022,0.388498,-0.080826,-0.67192,-0.42358,0.315874,0.383893,0.618525,-0.489606,2,TRUE
1.515316,-1.374449,-0.884431,2.82972,-1.113702,-0.064487,1.060344,-1.07126,-0.334346,0.514952,0.196998,0.317607,-0.101988,2,TRUE
1.813089,-0.83112,-1.602734,1.432952,-0.351262,-0.688591,0.241842,-0.977171,-0.955106,0.471568,0.19182,0.090995,0.315668,2,FALSE
-0.05497,-1.239072,-1.784696,1.181077,-0.455101,0.612543,-0.562424,0.624979,-1.21984,0.184503,0.253278,0.136152,0.162728,2,TRUE
-2.086005,-1.886745,-0.01386,-0.714523,-0.025294,-0.74026,-1.068183,-0.304859,-0.712499,1.344129,0.167821,0.267496,-0.3833,2,TRUE
0.577322,-1.894344,0.668939,2.145639,-0.163801,0.177086,0.506268,-0.016076,-0.387091,1.12716,-0.740612,-0.291651,0.028766,2,TRUE
-0.922963,-0.741201,0.562954,0.671619,-0.162467,-1.022052,0.18947,-0.098961,0.544038,0.806811,-0.706018,0.207577,0.126491,2,TRUE
-2.281529,-1.847992,-2.030588,-1.441687,-0.631108,-1.294654,-0.361703,0.175622,-0.826538,0.341569,-0.116307,-0.185466,0.119059,2,TRUE
-0.228115,-2.415219,-1.067912,-0.160504,-0.533351,0.094717,-1.356878,0.222475,-0.37257,-0.150795,0.49792,-1.083553,-0.015718,2,TRUE
0.798984,-0.207889,-0.714126,2.452887,-0.70553,0.30527,0.370908,-1.23048,-1.012141,-0.267206,0.14299,0.979963,-0.286093,2,TRUE
-1.985453,-1.362597,-1.202735,1.389214,4.140243,-0.48534,1.433697,1.049681,-0.357339,-0.499936,0.162733,-0.763927,-0.500248,2,TRUE
1.547929,-0.884575,-0.621741,1.218612,0.902808,-0.270183,0.145663,0.718803,1.123503,-0.626648,0.152895,0.454541,0.379628,2,TRUE
-1.686464,-0.923684,1.932967,-0.195718,-0.79595,0.336132,-1.481429,1.531882,-1.180793,0.721491,-0.675342,0.447681,-0.339006,2,TRUE
0.694082,-1.057371,0.078589,0.061063,-0.205269,0.570661,-1.596945,1.058034,-0.852201,-0.438727,0.027918,0.15965,0.259615,2,TRUE
-2.573063,0.303819,3.378558,1.099827,1.921287,0.342143,-0.440015,1.131676,-1.152559,-0.199752,1.7278,0.129422,-0.249012,2,TRUE
-1.8624,-1.254883,0.459382,-0.1059,1.016082,-0.04129,-1.355493,-0.534013,0.406649,0.115812,1.086044,0.510614,-1.012533,2,TRUE
0.830306,-2.434011,-1.55612,0.871361,0.676752,-0.117259,0.425501,-0.071767,0.153892,0.975704,-0.026854,-0.572304,0.272389,2,TRUE
-0.402452,-2.129495,-2.443136,0.129041,0.100455,-0.54403,-0.658073,0.740128,-0.795936,0.473418,-0.326793,-0.230288,0.249037,2,TRUE
1.426965,-1.387854,-0.218549,0.759274,1.027891,0.807677,0.941249,-0.850255,0.045051,-0.088,0.05264,-0.349462,0.117182,2,TRUE
-1.271036,-0.740405,-1.161997,1.074117,2.594198,-1.611805,1.977686,0.181641,0.175475,-0.558099,-0.48013,0.134924,0.110934,2,TRUE
-0.408968,-1.013836,1.789064,-0.972681,-0.087031,0.640146,1.202313,0.333732,-0.850141,0.475695,0.307376,-0.007395,-0.065812,2,TRUE
-0.810902,-3.347986,-0.360562,0.359555,-0.171129,-0.237366,-0.424783,0.24012,-0.703888,0.644966,-0.032562,-0.475215,-0.141759,2,TRUE
-1.067144,-1.428796,-0.36687,-0.312893,-0.289536,0.106321,-0.452188,0.599621,0.294154,0.151535,-0.095704,-0.355355,0.160865,2,TRUE
0.448107,-2.369848,1.319203,0.975732,-1.108856,-0.112292,-0.644678,0.941423,0.531194,0.177582,0.169777,0.068207,-0.313945,2,TRUE
2.510189,-0.108279,0.469881,-0.82083,-1.088001,-0.210502,1.144313,0.502874,-0.192234,-0.166082,0.007879,0.190259,0.587839,2,TRUE
-0.867356,-1.462143,0.609072,-0.533797,0.92539,-0.860278,-0.845525,-0.557453,1.286091,-0.585292,-1.325993,0.171848,-0.331691,2,TRUE
-0.820296,-2.003547,-0.256241,0.820956,0.211344,0.164024,-0.274477,0.153814,-0.491436,-0.087005,-0.618487,-0.301421,-0.281962,2,TRUE
0.76585,-2.222076,0.76502,0.993868,-0.347155,-0.359839,0.250841,1.052908,0.036195,0.501182,0.046658,0.107058,0.151133,2,TRUE
0.509656,-2.367615,2.295247,1.002818,-0.551691,0.241646,-0.4897,0.857605,0.422165,0.167571,0.379453,-0.760996,-0.308847,2,TRUE
1.071493,-1.806036,0.95046,0.288894,-0.754215,-0.065621,0.088406,-0.317155,0.922086,-0.267152,0.311955,-0.129904,0.009311,2,TRUE
0.50257,-2.652221,0.836894,-0.075819,-1.360422,-0.036754,-0.764951,0.434668,0.402269,-0.700966,0.546973,0.089592,-0.373475,2,TRUE
1.307535,-2.119429,-0.056703,0.411625,-0.913504,-0.52083,0.743287,0.121981,0.639335,-0.055799,-0.671056,0.168473,0.131594,2,TRUE
1.523412,-1.860936,0.776008,0.566669,-0.557391,-0.738741,0.113029,0.443915,0.478127,-0.479089,-0.445013,-0.461256,-0.006875,2,TRUE
